folder,files,bytes,latest_modified
AltarsTRUE.gdoc,1,218,2026-04-09T12:11:49.5430000-04:00
Sealed_Card_Protocol_Rewrite_9000_words_MERGED.gdoc,1,218,2026-04-09T12:12:24.2170000-04:00
Misfit as Method  Ten Diagnostic Scenes of Institutional Failure.gdoc,1,218,2026-04-09T12:12:24.2170000-04:00
Alchemy of the Wound.gdoc,1,218,2026-04-09T12:12:24.2170000-04:00
Copie de Unnatural Selection.gdoc,1,218,2026-04-09T12:13:16.1670000-04:00
EmbeddingBeforeRuptureHUM.gdoc,1,218,2026-04-09T12:13:16.1670000-04:00
Politics AI&Society.gdoc,1,218,2026-04-09T12:13:16.1670000-04:00
SEALDCARD-rev.gdoc,1,218,2026-04-09T12:13:16.1670000-04:00
SEALDCARD_FINAL_BIB.gdoc,1,218,2026-04-09T12:13:16.1670000-04:00
Sealed_Card_Protocol_FINAL.gdoc,1,218,2026-04-09T12:13:48.7200000-04:00
The Sealed Card Protocol - TRUE.gdoc,1,218,2026-04-09T12:14:20.8100000-04:00
CompressOpaq-FINAL.gdoc,1,218,2026-04-09T12:15:03.5300000-04:00
Chapter 6 – Magic as Ontological Coherence.gdoc,1,218,2026-04-09T12:15:03.5300000-04:00
Mes adresses.gmap,1,202,2015-06-12T03:43:58.5070000-04:00
